COUNTY,Retailer Commission,Prizes Paid,HOPE Students to Date,hopeDollars,PreK Students To Date,PreK Dollars To Date,*Outlay/Technology fy94-01,TOTAL RETURNED TO EDUCATION,sales,TOTAL RETURNED To Date,id,hopeRank,salesRank,hopeStudentRank
TATTNALL ,6533908,57378801,4720,14132892,3134,13000672,911227,28044791,100905688,91957499,141,81,91,73
MADISON ,5941846,50035806,4713,18789775,1810,6679383,3977777,29446935,90813127,85424587,43,64,97,74
HARRIS ,8274611,65313132,4680,17755934,3644,16034850,1978225,35769009,128167902,109356751,130,66,81,75
WORTH ,5692894,47807456,4623,13831731,2624,9612493,2146294,25590518,87249850,79090867.96,126,85,102,76
PIERCE,4612037,41926578,4606,13489556,2706,11000112,1291654,25781322,71821741,72319937,51,88,112,77
COOK ,7394529,66149714,4552,13584605,2952,12784603,1252438,27621646,114091361,101165889,50,87,86,78
MCDUFFIE ,12335677,103545875,4496,15603473,3480,13221112,1485154,30309739,186311865,146191291,136,75,58,79
BUTTS,12314766,97691835,4493,14116929,2858,9446434,737695,24301058,186843240,134307659,127,82,56,80
DODGE ,6082617,53403765,4362,14286771,3474,13953411,853978,29094160,93285626,88580542,106,80,94,81
APPLING,5591407,49592790,4277,12921240,2933,12672779,925836,26519855,86164452,81704052,2,92,103,82
BURKE ,9928517,78789686,4232,12729463,3604,13776588,1529038,28035089,149456845,116753292,40,93,70,83
MERIWETHER ,12451000,100290771,4198,12037852,3492,15290532,1213643,28542027,186311922,141283798,68,98,57,84
WHITE ,5796963,52790742,4192,15829809,1786,5938601,1121645,22890055,91527990,81477760,66,73,95,85
FRANKLIN ,12153809,90236289,4187,16737282,1716,6121453,1152021,24010756,195615320,126400854,75,69,54,86
GILMER ,6078907,55348006,3959,13825008,2451,9873848,2336281,26035137,95857066,87462050,29,86,93,87
MONROE ,9997636,78214659,3956,14567950,3072,13457457,1046726,29072133,151231535,117284427,45,78,69,88
PIKE,4272706,35417430,3935,13954078,1516,5547807,771236,20273121,65281412,59963257,149,83,119,89
FANNIN ,5439795,46489206,3861,13072456,1278,5138828,890833,19102117,87310414,71031117,87,91,101,90
SCREVEN ,7878163,59431512,3813,12552419,2216,8655258,1086042,22293719,118913400,89603394,84,95,84,91
DAWSON ,4962406,43727860,3800,14714612,2524,8263324,740844,23718780,78731094,72409046,56,77,107,92
JEFF DAVIS ,4152928,37202263,3753,11038000,1936,8611476,998876,20648352,64231581,62003543,132,101,120,93
ELBERT ,10771838,83621268,3732,13229271,2157,9519311,1141901,23890483,160523962,118283588,31,89,68,94
LAMAR ,6816022,54417297,3702,11782382,1603,6541234,1088211,19411827,102943474,80645146,60,99,89,95
LUMPKIN ,5784558,52168870,3624,17058217,1618,5412502,2318638,24789357,91048154,82742784,109,67,96,96
EARLY ,9116025,77218581,3422,10449981,1938,7797756,753558,19001295,140820739,105335901,52,102,75,97
JONES ,6771500,53376925,3406,13082033,3254,12464415,2219158,27765606,102874894,87914031,18,90,90,98
DOOLY ,4679995,38671284,3393,11202490,1636,7537597,750168,19490255,71742170,62841534,55,100,113,99
UNION ,5014787,42289966,3363,12531335,1049,3885938,1182475,17599748,80663529,64904502,14,96,106,100
BROOKS ,5736603,50866690,3194,9140642,1497,5947784,732389,15820815,87946695,72424107,77,105,99,101
TELFAIR ,4706278,41349632,3166,8938196,1491,6678360,659960,16276516,72678753,62332426,101,106,111,102
PUTNAM ,9332441,75881855,3083,12119215,1097,4449121,682054,17250390,141058400,102464685,139,97,74,103
BLECKLEY ,4872201,41127032,2899,10444761,2436,10952434,1449992,22847187,73371331,68846420,4,103,109,104
